i,posts_text,comments_text,users_username,users_first_name,users_sex,users_email,users_last_name,users_password,products_description,users_address,products_category,products_name,baseline
0,5.6,5.51,6.8,7.28,1.27,4.77,7.33,4.5,4.32,4.97,3.93,5.68,7.0
20,5.2,5.08,6.04,5.76,0.29,4.25,5.97,4.28,2.91,2.76,2.0,5.22,7.0
40,5.11,5.41,6.47,5.69,0.32,3.99,5.43,4.32,2.5,2.9,0.59,4.89,7.0
60,5.32,4.97,6.35,5.29,0.27,3.72,5.62,4.28,2.79,3.16,0.57,4.71,7.0
80,4.68,5.51,5.54,5.73,0.25,3.88,5.47,4.25,2.35,2.38,0.85,4.69,7.0
100,4.46,5.05,5.44,5.65,0.33,3.84,6.04,4.29,1.89,2.6,0.67,4.63,7.0
120,5.02,4.83,5.77,5.58,0.37,3.96,5.45,4.28,2.03,2.5,0.43,4.62,7.0
140,4.69,4.64,5.51,5.58,0.4,3.37,5.76,4.3,1.83,2.34,0.62,4.6,7.0
160,4.83,4.74,6.04,5.35,0.37,3.85,5.89,4.28,3.0,2.78,0.68,4.63,7.0
180,4.75,4.92,5.87,6.0,0.37,3.94,5.53,4.29,2.82,2.51,0.3,4.65,7.0
200,4.54,4.48,6.26,4.95,0.3,3.73,5.77,4.3,1.89,2.39,0.26,4.22,7.0
220,4.24,4.53,5.52,5.02,0.37,3.99,5.78,4.27,2.74,2.3,0.5,4.32,7.0
240,4.35,4.75,5.86,5.2,0.37,3.86,5.5,4.28,2.2,2.43,0.29,4.23,7.0
260,4.43,5.02,5.76,5.51,0.32,3.89,5.45,4.29,2.29,2.35,0.26,4.08,7.0
280,4.39,5.2,5.72,4.48,0.33,3.76,5.52,4.27,2.32,2.07,0.29,3.92,7.0
300,4.08,4.5,5.79,5.54,0.38,3.8,5.57,4.28,2.9,2.04,0.32,3.99,7.0
320,4.49,4.51,5.45,6.17,0.33,4.04,5.57,4.28,2.0,2.43,0.28,4.05,7.0
340,4.13,5.24,5.54,4.73,0.31,3.73,5.54,4.26,1.85,2.32,0.33,4.16,7.0
360,4.22,4.99,5.66,4.41,0.29,3.38,4.82,4.28,2.75,2.04,0.29,4.09,7.0
380,4.28,4.13,5.86,5.51,0.29,3.61,5.85,4.27,1.58,1.87,0.25,3.98,7.0
400,3.87,5.05,5.86,4.79,0.29,3.41,5.87,4.3,2.75,2.22,0.27,3.97,7.0
420,4.51,5.21,5.42,4.98,0.29,3.69,5.8,4.27,2.24,1.98,0.3,3.68,7.0
440,4.36,4.22,5.93,4.88,0.3,3.71,5.35,4.28,2.22,2.11,0.28,4.0,7.0
460,4.31,4.35,6.34,4.44,0.29,3.61,5.97,4.27,2.12,2.34,0.29,3.73,7.0
480,4.08,3.86,6.19,4.69,0.3,3.44,5.39,4.28,2.78,2.15,0.23,3.37,7.0
500,4.48,4.64,5.76,5.54,0.24,3.74,5.26,4.28,1.59,2.09,0.31,3.49,7.0
520,4.61,4.66,5.73,4.54,0.35,3.69,5.37,4.28,2.15,2.19,0.25,3.94,7.0
540,4.16,4.36,5.64,4.59,0.4,3.58,5.2,4.3,2.21,2.1,0.3,3.84,7.0
560,4.22,4.98,5.54,5.08,0.35,3.5,5.29,4.26,2.17,1.71,0.3,3.81,7.0
580,4.25,4.29,5.85,4.5,0.34,3.68,5.24,4.27,1.54,2.1,0.27,3.56,7.0
600,4.15,4.18,6.05,4.36,0.28,3.42,4.89,4.26,2.0,1.68,0.3,3.79,7.0
620,3.87,4.52,6.27,3.78,0.28,3.49,4.63,4.28,2.74,1.78,0.3,3.59,7.0
640,4.22,4.71,5.73,4.91,0.29,3.24,5.26,4.29,2.08,1.81,0.3,3.74,7.0
660,4.18,4.7,5.65,4.53,0.28,3.74,5.26,4.25,1.98,2.09,0.27,3.24,7.0
680,4.12,4.06,5.48,5.16,0.29,3.55,4.7,4.28,2.04,1.99,0.27,3.71,7.0
700,4.29,5.69,5.46,4.72,0.29,3.44,5.82,4.29,1.58,1.85,0.27,3.79,7.0
720,4.3,3.97,5.63,5.33,0.28,3.58,5.01,4.27,1.73,1.91,0.26,3.76,7.0
740,4.2,4.19,5.58,5.28,0.29,3.7,5.1,4.27,1.51,2.22,0.28,3.77,7.0
760,4.19,3.96,5.62,4.58,0.29,4.0,5.01,4.27,2.32,1.9,0.27,3.65,7.0
780,4.19,4.19,6.0,5.19,0.29,3.42,4.78,4.27,1.98,2.1,0.32,3.49,7.0
800,4.21,4.07,5.61,4.68,0.31,3.38,5.09,4.29,1.7,1.9,0.19,3.43,7.0
820,3.9,3.84,5.69,4.26,0.3,3.75,4.7,4.29,2.26,1.7,0.27,3.66,7.0
840,4.04,4.14,5.54,4.35,0.31,4.03,5.07,4.28,1.4,1.88,0.31,3.68,7.0
860,3.89,4.21,5.53,4.38,0.3,3.79,5.57,4.29,2.37,1.64,0.28,3.61,7.0
880,3.73,3.9,6.2,3.98,0.29,3.62,5.67,4.29,1.4,1.9,0.25,3.48,7.0
900,3.62,4.06,5.95,4.82,0.29,3.42,4.85,4.31,2.15,2.03,0.29,3.54,7.0
920,3.93,3.87,5.92,3.97,0.3,3.47,5.5,4.27,2.32,1.84,0.28,3.55,7.0
940,3.68,4.01,5.5,4.55,0.33,3.71,5.02,4.3,2.55,1.87,0.3,3.8,7.0
960,3.85,4.34,5.97,3.75,0.29,3.29,4.87,4.28,1.61,1.96,0.3,3.43,7.0
980,3.8,4.07,5.62,4.58,0.31,3.49,5.27,4.29,2.4,1.87,0.28,3.56,7.0
